,ticker,company,sector,industry,market cap,analyst_recom,sentiment_score,rs_rating,returns_multiple,current_price,target_price,est_gl,performance_(week),performance_(month),performance_(quarter),performance_(half year),performance_(year),performance_(ytd),20_day_ma,50_day_ma,200_day_ma,52_week_low,52_week_high,my_score,in_russell_3k
0,AAP,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,15204.04,76.5,17.0,75,1.21,235.69,240.65,2.1,6.14%,12.29%,16.43%,20.93%,57.08%,53.58%,231.44,,199.61,142.59,243.05,56.166666666666664,True
1,AAWW,"Atlas Air Worldwide Holdings, Inc.",Industrials,Airports & Air Services,2538.62,81.5,27.0,75,1.2,87.99,105.57,19.98,1.55%,11.46%,12.97%,18.36%,60.34%,60.84%,83.92,,70.24,50.22,91.77,61.166666666666664,True
5,ACLS,"Axcelis Technologies, Inc.",Technology,Semiconductor Equipment & Materials,2049.62,86.5,20.0,93,1.88,64.16,68.5,6.76,-0.06%,25.20%,47.41%,63.82%,137.64%,112.26%,56.63,,43.44,25.47,64.17,66.5,True
7,AFG,"American Financial Group, Inc.",Financial,Insurance - Property & Casualty,12264.99,74.0,20.0,75,1.2,139.8,157.33,12.54,2.28%,10.97%,11.75%,32.76%,103.79%,96.04%,139.96,,126.0,79.21,146.63,56.333333333333336,True
8,AGO,Assured Guaranty Ltd.,Financial,Insurance - Specialty,3738.47,89.0,37.0,81,1.32,54.21,61.0,12.53,-2.94%,1.70%,8.63%,15.41%,74.77%,70.72%,54.95,,47.21,29.73,56.95,69.0,True
11,ALTR,Altair Engineering Inc.,Technology,Software - Infrastructure,6073.02,76.5,20.0,76,1.23,78.98,86.29,9.26,-2.28%,7.46%,9.83%,23.41%,59.52%,34.38%,77.82,,68.31,48.28,82.96,57.5,True
12,AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,138473.98,81.5,13.0,90,1.63,157.86,163.37,3.49,2.16%,18.76%,21.33%,28.29%,114.63%,81.08%,144.36,,131.63,73.06,159.0,61.5,True
14,AMG,"Affiliated Managers Group, Inc.",Financial,Asset Management,7364.19,79.0,14.0,89,1.56,180.37,213.83,18.55,-1.00%,14.52%,11.46%,15.22%,111.71%,80.22%,177.05,,158.69,84.18,191.62,60.666666666666664,True
15,AMP,"Ameriprise Financial, Inc.",Financial,Asset Management,34155.56,84.0,26.0,80,1.29,308.68,333.78,8.13,0.24%,6.14%,14.49%,21.72%,66.42%,58.33%,303.6,,256.14,179.77,312.14,63.333333333333336,True
17,AMRK,"A-Mark Precious Metals, Inc.",Financial,Capital Markets,816.85,81.5,55.0,92,1.8,73.57,91.0,23.69,10.86%,8.33%,57.77%,43.54%,164.37%,200.40%,72.24,,48.35,25.08,80.93,76.16666666666667,True
19,AMTB,Amerant Bancorp Inc.,Financial,Banks - Regional,1117.61,76.5,15.0,92,1.76,30.36,32.33,6.49,0.40%,15.15%,23.61%,32.02%,136.45%,98.03%,28.0,,22.12,12.43,30.6,61.166666666666664,True
20,AMTX,"Aemetis, Inc.",Energy,Oil & Gas Refining & Marketing,614.62,86.5,13.0,100,6.65,19.32,31.5,63.04,-11.68%,10.05%,124.21%,61.14%,796.83%,695.98%,20.17,,14.65,1.96,27.44,66.5,True
22,ANF,Abercrombie & Fitch Co.,Consumer Cyclical,Apparel Retail,2704.51,76.5,18.0,93,1.85,46.61,52.0,11.56,1.58%,17.88%,29.70%,10.30%,155.59%,126.72%,42.69,,37.82,18.35,48.97,62.5,True
23,APA,APA Corporation,Energy,Oil & Gas E&P,10741.92,71.5,14.0,94,1.99,29.62,32.73,10.5,-3.42%,12.29%,75.52%,36.64%,186.92%,108.67%,28.36,,20.85,10.72,31.14,59.833333333333336,True
24,AR,Antero Resources Corporation,Energy,Oil & Gas E&P,6245.68,74.0,15.0,99,3.77,20.02,26.44,32.07,-5.21%,0.20%,54.81%,56.79%,391.98%,260.18%,20.27,,13.56,3.71,21.99,62.666666666666664,True
25,ARCB,ArcBest Corporation,Industrials,Trucking,2804.74,84.0,24.0,96,2.27,113.95,127.56,11.94,-1.37%,29.31%,61.64%,36.96%,197.87%,158.99%,101.21,,71.96,37.05,116.79,68.0,True
27,ASIX,AdvanSix Inc.,Basic Materials,Chemicals,1378.79,94.0,19.0,95,2.17,49.72,58.0,16.65,-0.68%,12.36%,39.72%,63.19%,194.67%,148.82%,47.71,,33.53,16.54,50.95,69.33333333333333,True
29,ASO,"Academy Sports and Outdoors, Inc.",Consumer Cyclical,Specialty Retail,4436.56,86.5,20.0,96,2.29,47.99,54.3,13.15,2.97%,18.34%,33.33%,36.41%,187.22%,130.97%,44.96,,35.92,14.94,48.44,67.5,True
30,ATEN,"A10 Networks, Inc.",Technology,Software - Infrastructure,1228.83,89.0,15.0,91,1.67,16.49,19.67,19.28,-3.65%,16.78%,24.46%,73.09%,110.20%,63.08%,15.48,,11.57,7.46,19.05,65.0,True
34,AVID,"Avid Technology, Inc.",Communication Services,Electronic Gaming & Multimedia,1546.06,71.5,38.0,95,2.22,34.65,42.5,22.66,16.28%,13.31%,25.87%,25.63%,204.74%,112.48%,30.18,,28.03,11.36,40.48,68.16666666666667,True
35,AVNT,Avient Corporation,Basic Materials,Specialty Chemicals,5443.82,91.5,15.0,80,1.29,60.91,62.64,2.84,1.79%,16.44%,21.25%,14.03%,69.21%,47.91%,56.39,,49.28,34.71,61.01,62.166666666666664,True
36,AX,"Axos Financial, Inc.",Financial,Banks - Regional,3576.64,91.5,19.0,81,1.33,59.81,61.38,2.62,-0.58%,10.34%,22.72%,30.54%,82.44%,59.45%,56.36,,48.48,32.48,61.28,63.833333333333336,True
39,BAC,Bank of America Corporation,Financial,Banks - Diversified,389821.95,71.5,15.0,81,1.31,47.08,47.58,1.06,-0.61%,1.47%,14.50%,11.60%,74.26%,55.23%,47.4,,40.63,26.63,48.69,55.833333333333336,True
40,BANC,"Banc of California, Inc.",Financial,Banks - Regional,1381.92,81.5,13.0,77,1.24,21.81,24.0,10.04,-0.05%,13.65%,21.56%,22.32%,65.77%,47.18%,20.92,,18.43,12.94,21.89,57.166666666666664,True
42,BDC,Belden Inc.,Industrials,Electrical Equipment & Parts,3050.0,79.0,15.0,84,1.41,67.91,74.67,9.95,3.80%,12.31%,26.56%,31.40%,90.99%,62.41%,63.47,,51.9,36.23,68.87,59.333333333333336,True
43,BFS,"Saul Centers, Inc.",Real Estate,REIT - Retail,1245.16,74.0,14.0,78,1.26,51.46,52.0,1.05,3.60%,13.01%,12.11%,20.49%,76.39%,63.70%,48.78,,43.51,29.63,51.87,55.333333333333336,True
45,BLDR,"Builders FirstSource, Inc.",Industrials,Building Products & Equipment,12728.66,94.0,14.0,87,1.48,69.0,82.07,18.94,0.24%,17.40%,34.81%,46.13%,92.34%,64.18%,62.54,,48.83,34.42,69.36,65.0,True
46,BLFS,"BioLife Solutions, Inc.",Healthcare,Medical Instruments & Supplies,2096.64,79.0,26.0,77,1.24,52.19,63.43,21.54,-7.50%,20.30%,11.13%,54.60%,52.97%,23.44%,50.33,,41.95,28.15,60.67,60.666666666666664,True
48,BPOP,"Popular, Inc.",Financial,Banks - Regional,6716.5,89.0,52.0,79,1.27,84.7,102.0,20.43,2.17%,6.59%,11.95%,5.14%,66.82%,49.88%,82.98,,74.98,48.42,85.59,73.33333333333333,True
50,BSIG,BrightSphere Investment Group Inc.,Financial,Asset Management,2433.86,76.5,18.0,77,1.25,30.5,31.75,4.1,1.32%,14.46%,15.28%,33.76%,73.34%,58.87%,29.22,,23.95,17.45,30.88,57.166666666666664,True
52,BVH,Bluegreen Vacations Holding Corporation,Consumer Cyclical,Resorts & Casinos,679.44,81.5,18.0,95,2.16,31.64,50.0,58.03,4.00%,27.72%,48.86%,49.86%,175.33%,132.59%,27.48,,20.59,11.03,32.67,64.83333333333333,True
53,BWB,"Bridgewater Bancshares, Inc.",Financial,Banks - Regional,551.98,81.5,19.0,77,1.24,19.04,21.0,10.29,2.17%,8.24%,22.54%,11.11%,61.64%,54.52%,18.42,,16.59,11.24,20.05,59.166666666666664,True
