,Date,News Headline,Article Link,Source
0,2022-01-04 07:00,Plymouth Industrial REIT Announces Leasing and Acquisition Activity for Fourth Quarter 2021,https://finance.yahoo.com/news/plymouth-industrial-reit-announces-leasing-120000657.html,Business Wire
1,2021-12-19 05:38,"Timothy Plan Small Cap Value Fund Buys Whiting Petroleum Corp, Adtran Inc, Community Healthcare ...",https://finance.yahoo.com/news/timothy-plan-small-cap-value-103803201.html,GuruFocus.com
2,2021-12-16 07:00,Plymouth Industrial REIT Declares Dividend for the Fourth Quarter of 2021,https://finance.yahoo.com/news/plymouth-industrial-reit-declares-dividend-120000800.html,Business Wire
3,2021-12-15 12:00,What Makes Plymouth Industrial (PLYM) a New Buy Stock,https://finance.yahoo.com/news/makes-plymouth-industrial-plym-buy-170005447.html,Zacks
4,2021-12-11 05:38,"Prudential Jennison Small Co Fund, Inc. Buys Ryan Specialty Group Holdings Inc, Bridge ...",https://finance.yahoo.com/news/prudential-jennison-small-co-fund-103803923.html,GuruFocus.com
5,2021-12-11 00:38,"Dean Small Cap Value Buys American Woodmark Corp, National Energy Services Reunited Corp, ...",https://finance.yahoo.com/news/dean-small-cap-value-buys-053802319.html,GuruFocus.com
6,2021-12-06 16:15,Plymouth Industrial REIT Announces CFO Succession Plan,https://finance.yahoo.com/news/plymouth-industrial-reit-announces-cfo-211500396.html,Business Wire
7,2021-12-02 11:22,Dayton-area industrial portfolio sells for $22.5M,https://www.bizjournals.com/dayton/news/2021/12/02/troy-industrial-portfolio.html?ana=yahoo,American City Business Journals
8,2021-12-01 07:00,Plymouth Industrial REIT Declares Fourth Quarter 2021 Preferred Stock Dividend,https://finance.yahoo.com/news/plymouth-industrial-reit-declares-fourth-120000276.html,Business Wire
9,2021-11-15 07:00,Plymouth Industrial REIT to be Added to the MSCI REIT Index (RMZ),https://finance.yahoo.com/news/plymouth-industrial-reit-added-msci-120000342.html,Business Wire
10,2021-11-11 11:39,Boston REIT buys two Metro East warehouses for $75 million,https://www.bizjournals.com/stlouis/news/2021/11/11/boston-firm-buys-two-metro-east-warehouses-million.html?ana=yahoo,American City Business Journals
11,2021-11-05 07:00,Plymouth Industrial REIT Reports Third Quarter Results,https://finance.yahoo.com/news/plymouth-industrial-reit-reports-third-110000630.html,Business Wire
12,2021-10-07 07:00,Plymouth Industrial REIT Announces Leasing and Acquisition Activity for Third Quarter 2021,https://finance.yahoo.com/news/plymouth-industrial-reit-announces-leasing-110000683.html,Business Wire
13,2021-10-04 13:36,Plymouth Industrial REIT's (NYSE:PLYM) investors will be pleased with their favorable 90% return over the last year,https://finance.yahoo.com/news/plymouth-industrial-reits-nyse-plym-173658612.html,Simply Wall St.
14,2021-09-15 07:00,Plymouth Industrial REIT Declares Dividend for the Third Quarter of 2021,https://finance.yahoo.com/news/plymouth-industrial-reit-declares-dividend-110000844.html,Business Wire
15,2021-09-01 07:00,Plymouth Industrial REIT Declares Third Quarter 2021 Preferred Stock Dividend,https://finance.yahoo.com/news/plymouth-industrial-reit-declares-third-110000910.html,Business Wire
16,2021-08-17 07:00,Plymouth Industrial REIT Closes $500 Million Unsecured Credit Facilities,https://finance.yahoo.com/news/plymouth-industrial-reit-closes-500-110000960.html,Business Wire
17,2021-08-06 07:00,Plymouth Industrial REIT Reports Second Quarter Results,https://finance.yahoo.com/news/plymouth-industrial-reit-reports-second-110000630.html,Business Wire
18,2021-07-07 07:00,Plymouth Industrial REIT Announces Leasing and Acquisition Activity for Second Quarter 2021,https://finance.yahoo.com/news/plymouth-industrial-reit-announces-leasing-110000589.html,Business Wire
19,2021-07-05 07:48,"What Kind Of Investors Own Most Of Plymouth Industrial REIT, Inc. (NYSE:PLYM)?",https://finance.yahoo.com/news/kind-investors-own-most-plymouth-114850303.html,Simply Wall St.
20,2021-06-01 07:00,Plymouth Industrial REIT Declares Second Quarter 2021 Preferred Stock Dividend,https://finance.yahoo.com/news/plymouth-industrial-reit-declares-second-110000762.html,Business Wire
21,2021-05-07 07:15,"Plymouth Industrial REIT, Inc. to Host Earnings Call",https://finance.yahoo.com/news/plymouth-industrial-reit-inc-host-111500981.html,ACCESSWIRE
22,2021-05-07 07:00,Plymouth Industrial REIT Reports First Quarter Results,https://finance.yahoo.com/news/plymouth-industrial-reit-reports-first-110000362.html,Business Wire
23,2021-05-06 07:00,Plymouth Industrial REIT Increases Quarterly Common Stock Dividend by 5% and Declares Dividend for the Second Quarter of 2021,https://finance.yahoo.com/news/plymouth-industrial-reit-increases-quarterly-110000169.html,Business Wire
24,2021-04-07 07:00,Plymouth Industrial REIT Adds Caitlin Murphy to Board of Directors,https://finance.yahoo.com/news/plymouth-industrial-reit-adds-caitlin-110000211.html,Business Wire
25,2021-04-06 07:00,Plymouth Industrial REIT Schedules First Quarter 2021 Earnings Release and Conference Call Dates,https://finance.yahoo.com/news/plymouth-industrial-reit-schedules-first-110000984.html,Business Wire
26,2021-04-05 07:00,Plymouth Industrial REIT Announces Leasing and Acquisition Activity for First Quarter 2021,https://finance.yahoo.com/news/plymouth-industrial-reit-announces-leasing-110000124.html,Business Wire
27,2021-03-16 07:00,Plymouth Industrial REIT Declares First Quarter 2021 Common Stock Dividend,https://finance.yahoo.com/news/plymouth-industrial-reit-declares-first-110000785.html,Business Wire
28,2021-03-11 07:00,Plymouth Industrial REIT Announces Two Promotions,https://finance.yahoo.com/news/plymouth-industrial-reit-announces-two-120000207.html,Business Wire
29,2021-03-01 16:01,Plymouth Industrial REIT Declares First Quarter 2021 Preferred Stock Dividend,https://finance.yahoo.com/news/plymouth-industrial-reit-declares-first-210100054.html,Business Wire
30,2021-03-01 07:16,Plymouth Industrial REIT (NYSE:PLYM) Share Prices Have Dropped 21% In The Last Year,https://finance.yahoo.com/news/plymouth-industrial-reit-nyse-plym-121650019.html,Simply Wall St.
31,2021-02-26 07:00,Plymouth Industrial REIT Reports Fourth Quarter 2020 Results,https://finance.yahoo.com/news/plymouth-industrial-reit-reports-fourth-120000743.html,Business Wire
32,2021-02-26 06:45,"Plymouth Industrial REIT, Inc. to Host Earnings Call",https://finance.yahoo.com/news/plymouth-industrial-reit-inc-host-114500262.html,ACCESSWIRE
33,2021-02-05 07:00,Plymouth Industrial REIT Schedules Fourth Quarter 2020 Earnings Release and Conference Call Dates,https://finance.yahoo.com/news/plymouth-industrial-reit-schedules-fourth-120000213.html,Business Wire
34,2021-01-11 07:00,Plymouth Industrial REIT Adds REIT Veteran John Guinee to Board of Directors,https://finance.yahoo.com/news/plymouth-industrial-reit-adds-reit-120000721.html,Business Wire
35,2020-12-18 07:00,Plymouth Industrial REIT and Madison International Realty Joint Venture Closes on Industrial Portfolio in Metropolitan Memphis for $86 Million,https://finance.yahoo.com/news/plymouth-industrial-reit-madison-international-120000844.html,Business Wire
36,2020-12-15 07:00,Plymouth Industrial REIT Declares Fourth Quarter 2020 Common Stock Dividend,https://finance.yahoo.com/news/plymouth-industrial-reit-declares-fourth-120000415.html,Business Wire
37,2020-12-12 19:34,Is PLYM A Good Stock To Buy Now?,https://finance.yahoo.com/news/plym-good-stock-buy-now-003455483.html,Insider Monkey
38,2020-12-01 16:01,Plymouth Industrial REIT Declares Fourth Quarter 2020 Preferred Stock Dividend,https://finance.yahoo.com/news/plymouth-industrial-reit-declares-fourth-210100286.html,Business Wire
39,2020-12-01 07:00,Plymouth Industrial REIT Completes Acquisition of Industrial Portfolio in Ohio for $94 Million,https://finance.yahoo.com/news/plymouth-industrial-reit-completes-acquisition-120000949.html,Business Wire
40,2020-11-16 16:01,Plymouth Industrial REIT to Expand its Scale in Ohio with Agreement to Purchase Industrial Portfolio for $94 Million,https://finance.yahoo.com/news/plymouth-industrial-reit-expand-scale-210100943.html,Business Wire
41,2020-11-06 06:30,Plymouth Industrial REIT Reports Third Quarter Results,https://finance.yahoo.com/news/plymouth-industrial-reit-reports-third-113000356.html,Business Wire
42,2020-10-28 11:47,"How Much Of Plymouth Industrial REIT, Inc. (NYSE:PLYM) Do Institutions Own?",https://finance.yahoo.com/news/much-plymouth-industrial-reit-inc-154712898.html,Simply Wall St.
43,2020-10-26 16:01,Plymouth Industrial REIT Forms $150 Million Equity Joint Venture with Madison International Realty,https://finance.yahoo.com/news/plymouth-industrial-reit-forms-150-200100462.html,Business Wire
44,2020-10-08 16:01,Plymouth Industrial REIT Closes New $300 Million Unsecured Credit Facilities to Support Continued Growth,https://finance.yahoo.com/news/plymouth-industrial-reit-closes-300-200100231.html,Business Wire
45,2020-10-05 16:01,Plymouth Industrial REIT Schedules Third Quarter 2020 Earnings Release and Conference Call Dates,https://finance.yahoo.com/news/plymouth-industrial-reit-schedules-third-200100963.html,Business Wire
46,2020-09-15 07:00,Plymouth Industrial REIT Declares Third Quarter 2020 Common Stock Dividend,https://finance.yahoo.com/news/plymouth-industrial-reit-declares-third-110000672.html,Business Wire
47,2020-09-11 07:00,Plymouth Industrial REIT Expands Presence in St. Louis and Jacksonville with Acquisition of Three Industrial Properties for $51 Million,https://finance.yahoo.com/news/plymouth-industrial-reit-expands-presence-110000820.html,Business Wire
48,2020-09-01 07:00,Plymouth Industrial REIT Declares Second Quarter 2020 Preferred Stock Dividend,https://finance.yahoo.com/news/plymouth-industrial-reit-declares-second-110000395.html,Business Wire
