,Date,News Headline,Article Link,Source
0,2022-01-26 17:38,"John G Ullman & Associates Inc Buys Fiserv Inc, Skanska AB, Chewy Inc, Sells Verizon ...",https://finance.yahoo.com/news/john-g-ullman-associates-inc-223825493.html,GuruFocus.com
1,2022-01-24 17:50,Preferred Apartment Communities (APTS) Stock Sinks As Market Gains: What You Should Know,https://finance.yahoo.com/news/preferred-apartment-communities-apts-stock-225010315.html,Zacks
2,2022-01-17 18:00,Preferred Apartment Communities (APTS) Outpaces Stock Market Gains: What You Should Know,https://finance.yahoo.com/news/preferred-apartment-communities-apts-outpaces-230011332.html,Zacks
3,2022-01-13 10:01,Best Momentum Stocks to Buy for January 13th,https://finance.yahoo.com/news/best-momentum-stocks-buy-january-150103728.html,Zacks
4,2022-01-12 17:38,"Home Federal Bank Of Tennessee Buys Preferred Apartment Communities Inc, Mountain Commerce ...",https://finance.yahoo.com/news/home-federal-bank-tennessee-buys-223806502.html,GuruFocus.com
5,2022-01-11 17:50,Preferred Apartment Communities (APTS) Stock Sinks As Market Gains: What You Should Know,https://finance.yahoo.com/news/preferred-apartment-communities-apts-stock-225010408.html,Zacks
6,2022-01-06 23:00,2022 Faces to Watch: Highwoods Properties CEO Ted Klinck,https://www.bizjournals.com/triangle/news/2022/01/06/2022-person-to-watch-ted-klinck-highwoods.html?ana=yahoo,American City Business Journals
7,2022-01-05 12:00,Preferred Apartment Communities (APTS) is a Great Momentum Stock: Should You Buy?,https://finance.yahoo.com/news/preferred-apartment-communities-apts-great-170005942.html,Zacks
8,2021-12-31 16:20,Arkhouse Partners nominates directors to Preferred Apartment Communities board -sources,https://finance.yahoo.com/news/arkhouse-partners-nominates-directors-preferred-212018613.html,Reuters
9,2021-12-27 05:59,"The Zacks Analyst Blog Highlights: Photronics, Preferred Apartment Communities, Accenture, Broadcom and Jabil",https://finance.yahoo.com/news/zacks-analyst-blog-highlights-photronics-105910629.html,Zacks
10,2021-12-21 09:15,"Preferred Apartment Communities (APTS) Soars to 52-Week High, Time to Cash Out?",https://finance.yahoo.com/news/preferred-apartment-communities-apts-soars-141502591.html,Zacks
11,2021-12-21 08:00,"NewStar Asset Management Announces Major Lease at Three Ravinia in Atlanta, Georgia",https://finance.yahoo.com/news/newstar-asset-management-announces-major-130000993.html,PR Newswire
12,2021-12-17 13:31,"Preferred Apartment Communities (APTS): Strong Industry, Solid Earnings Estimate Revisions",https://finance.yahoo.com/news/preferred-apartment-communities-apts-strong-183106338.html,Zacks
13,2021-12-16 12:00,What Makes Preferred Apartment Communities (APTS) a Strong Momentum Stock: Buy Now?,https://finance.yahoo.com/news/makes-preferred-apartment-communities-apts-170005351.html,Zacks
14,2021-12-16 11:40,APTS or AMH: Which Is the Better Value Stock Right Now?,https://finance.yahoo.com/news/apts-amh-better-value-stock-164004187.html,Zacks
15,2021-12-14 16:47,Preferred Apartment (APTS) Inks 15-Year Lease Deal in Atlanta,https://finance.yahoo.com/news/preferred-apartment-apts-inks-15-214709131.html,Zacks
16,2021-12-13 16:46,"Preferred Apartment Communities, Inc. Announces Major Lease at Three Ravinia in Atlanta, Georgia",https://finance.yahoo.com/news/preferred-apartment-communities-inc-announces-214600615.html,Business Wire
