,Date,News Headline,Article Link,Source
0,2022-02-04 17:38,"Heron Financial Group, Llc Buys Bank of America Corp, M&T Bank Corp, NVIDIA Corp, Sells ...",https://finance.yahoo.com/news/heron-financial-group-llc-buys-223816501.html,GuruFocus.com
1,2022-02-04 14:46,Why M&T Banks Stock Jumped 10.3% in January,https://www.fool.com/investing/2022/02/04/why-mt-banks-stock-jumped-103-in-january/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article,Motley Fool
2,2022-01-28 06:15,Philadelphia's largest banks led the U.S. in net branch closings in 2021,https://www.bizjournals.com/philadelphia/news/2022/01/28/banks-with-the-most-net-branch-closings.html?ana=yahoo,American City Business Journals
3,2022-01-26 21:38,"Country Trust Bank Buys Consumer Discretionary Select Sector SPDR, PayPal Holdings Inc, MasTec ...",https://finance.yahoo.com/news/country-trust-bank-buys-consumer-023810767.html,GuruFocus.com
4,2022-01-26 09:15,M&T Bank/Wilmington Trust Leader Bill Farrell Announces Retirement,https://finance.yahoo.com/news/m-t-bank-wilmington-trust-141500995.html,PR Newswire
5,2022-01-24 13:38,"Gulf International Bank (UK) Ltd Buys Broadcom Inc, Medtronic PLC, Raytheon Technologies Corp, ...",https://finance.yahoo.com/news/gulf-international-bank-uk-ltd-183823518.html,GuruFocus.com
6,2022-01-20 21:38,"Sound View Wealth Advisors Group, LLC Buys Illinois Tool Works Inc, Schwab US Dividend Equity ...",https://finance.yahoo.com/news/sound-view-wealth-advisors-group-023818363.html,GuruFocus.com
7,2022-01-20 17:38,"Chapman Investment Management, LLC Buys Charles Schwab Corp, Tesla Inc, KLA Corp, Sells ...",https://finance.yahoo.com/news/chapman-investment-management-llc-buys-223804833.html,GuruFocus.com
8,2022-01-20 11:03,M&T Bank (MTB) Q4 Earnings & Revenues Surpass Estimates,https://finance.yahoo.com/news/m-t-bank-mtb-q4-160304611.html,Zacks
9,2022-01-20 08:05,M&T Bank Corporation (MTB) Q4 Earnings and Revenues Surpass Estimates,https://finance.yahoo.com/news/m-t-bank-corporation-mtb-130501085.html,Zacks
10,2022-01-20 06:37,M&T BANK CORPORATION ANNOUNCES FOURTH QUARTER AND FULL-YEAR RESULTS,https://finance.yahoo.com/news/m-t-bank-corporation-announces-113700128.html,PR Newswire
11,2022-01-19 07:33,"M&T wants to bring employees back downtown in 2022, remains 'bullish' on Baltimore",https://www.bizjournals.com/baltimore/news/2022/01/19/mt-bank-committed-to-downtown-baltimore-future.html?ana=yahoo,American City Business Journals
12,2022-01-18 09:23,Should You Buy M&T Bank (MTB) Ahead of Earnings?,https://finance.yahoo.com/news/buy-m-t-bank-mtb-142302490.html,Zacks
13,2022-01-17 11:09,Key Factors to Affect M&T Bank (MTB) This Earnings Season,https://finance.yahoo.com/news/key-factors-affect-m-t-160904462.html,Zacks
14,2022-01-14 12:25,Manufacturers and Traders Trust Company -- Moody's announces completion of a periodic review of ratings of M&T Bank Corporation,https://finance.yahoo.com/news/manufacturers-traders-trust-company-moodys-172508746.html,Moody's
15,2022-01-14 09:38,"Gateway Investment Advisers Llc Buys Danaher Corp, Consolidated Edison Inc, Exxon Mobil Corp, ...",https://finance.yahoo.com/news/gateway-investment-advisers-llc-buys-143809997.html,GuruFocus.com
