,ticker,company,sector,industry,market cap,analyst_recom,sentiment_score,rs_rating,returns_multiple,current_price,target_price,est_gl,performance_(week),performance_(month),performance_(quarter),performance_(half year),performance_(year),performance_(ytd),20_day_ma,50_day_ma,200_day_ma,52_week_low,52_week_high,my_score,in_sp500
0,AAP,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,14825.22,76.5,18.0,80,1.21,233.37,254.06,8.87,0.03%,2.45%,11.09%,24.74%,61.97%,49.69%,231.94,,201.83,143.15,243.05,58.166666666666664,True
18,AMP,"Ameriprise Financial, Inc.",Financial,Asset Management,34421.56,84.0,26.0,81,1.23,302.46,337.11,11.46,-1.53%,2.00%,11.47%,18.86%,65.42%,56.42%,305.11,,258.88,182.83,312.15,63.666666666666664,True
24,APA,APA Corporation,Energy,Oil & Gas E&P,10970.91,71.5,15.0,91,1.56,28.61,33.98,18.77,-3.88%,0.89%,57.03%,39.01%,121.38%,100.63%,28.34,,21.17,12.2,31.14,59.166666666666664,True
45,BK,The Bank of New York Mellon Corporation,Financial,Asset Management,49329.41,76.5,23.0,75,1.13,58.92,62.72,6.45,-0.24%,-0.66%,6.19%,14.45%,53.07%,39.04%,59.07,,51.31,38.94,60.52,58.166666666666664,True
64,CBRE,"CBRE Group, Inc.",Real Estate,Real Estate Services,34724.09,79.0,17.0,85,1.31,104.24,126.17,21.04,0.05%,-1.01%,9.90%,17.71%,73.70%,65.56%,103.61,,89.5,58.74,107.88,60.333333333333336,True
70,CFG,"Citizens Financial Group, Inc.",Financial,Banks - Regional,21899.33,81.5,19.0,75,1.14,51.04,54.53,6.84,1.23%,1.05%,14.50%,3.56%,52.90%,42.17%,48.95,,45.89,32.58,51.54,58.5,True
81,COP,ConocoPhillips,Energy,Oil & Gas E&P,101659.25,86.5,13.0,85,1.32,74.83,89.11,19.08,1.57%,-3.58%,31.70%,33.13%,72.75%,84.50%,73.4,,59.49,38.77,77.98,61.5,True
105,DRE,Duke Realty Corporation,Real Estate,REIT - Industrial,22343.45,79.0,13.0,78,1.19,59.91,60.81,1.5,2.39%,6.16%,19.53%,28.01%,53.82%,47.94%,57.43,,48.35,37.54,60.07,56.666666666666664,True
107,DVN,Devon Energy Corporation,Energy,Oil & Gas E&P,31378.88,86.5,23.0,97,2.3,45.09,49.97,10.82,0.02%,6.84%,50.57%,68.02%,208.84%,182.86%,42.53,,29.06,13.78,45.56,68.83333333333333,True
108,DXCM,"DexCom, Inc.",Healthcare,Diagnostics & Research,57825.9,91.5,15.0,90,1.48,598.58,638.88,6.73,-8.95%,3.81%,14.00%,66.34%,83.75%,59.58%,628.07,,461.06,311.01,659.45,65.5,True
114,ENPH,"Enphase Energy, Inc.",Technology,Solar,32121.61,79.0,27.0,88,1.42,255.1,261.25,2.41,-0.43%,39.61%,44.87%,75.13%,86.34%,42.76%,245.25,,169.95,108.88,282.46,64.66666666666667,True
127,FANG,"Diamondback Energy, Inc.",Energy,Oil & Gas E&P,21094.77,86.5,26.0,95,1.94,114.2,131.62,15.25,0.01%,0.71%,46.90%,40.75%,147.67%,127.67%,110.19,,85.67,39.3,117.71,69.16666666666667,True
132,FE,FirstEnergy Corp.,Utilities,Utilities - Diversified,21243.72,71.5,21.0,75,1.13,38.91,42.5,9.23,-1.62%,4.20%,-0.15%,3.62%,40.53%,27.21%,38.87,,36.98,26.17,39.94,55.833333333333336,True
134,FITB,Fifth Third Bancorp,Financial,Banks - Regional,31075.02,81.5,19.0,84,1.29,44.6,48.58,8.92,0.02%,-1.62%,14.13%,7.61%,72.40%,62.64%,44.23,,39.65,25.27,45.92,61.5,True
139,FTNT,"Fortinet, Inc.",Technology,Software - Infrastructure,53700.17,76.5,19.0,96,2.15,333.24,367.7,10.34,-3.97%,-1.33%,7.01%,51.81%,179.71%,120.48%,336.66,,253.17,119.0,355.35,63.833333333333336,True
149,GOOG,Alphabet Inc.,Communication Services,Internet Content & Information,2014870.81,91.5,16.0,83,1.28,2934.35,3279.44,11.76,-1.56%,5.75%,2.66%,20.61%,69.19%,67.54%,2959.11,,2546.35,1699.0,3037.0,63.5,True
150,GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,1952574.88,89.0,16.0,83,1.28,2922.4,3269.41,11.87,-1.42%,6.06%,2.61%,22.49%,68.77%,66.36%,2946.17,,2515.86,1694.0,3019.33,62.666666666666664,True
165,INTU,Intuit Inc.,Technology,Software - Application,166497.31,84.0,16.0,90,1.48,670.63,734.87,9.58,3.85%,11.30%,20.70%,51.45%,95.33%,76.55%,628.58,,490.43,345.01,716.86,63.333333333333336,True
167,IQV,IQVIA Holdings Inc.,Healthcare,Diagnostics & Research,50531.28,89.0,17.0,80,1.21,265.27,300.22,13.18,-0.85%,3.12%,2.54%,10.71%,55.53%,48.05%,257.96,,234.73,165.52,272.25,62.0,True
171,JCI,Johnson Controls International plc,Industrials,Engineering & Construction,55431.29,79.0,22.0,85,1.32,79.2,83.39,5.29,-0.61%,7.10%,5.42%,20.11%,73.49%,69.99%,76.31,,67.61,44.91,81.15,62.0,True
177,KIM,Kimco Realty Corporation,Real Estate,REIT - Retail,15036.33,74.0,18.0,80,1.22,24.18,25.21,4.26,2.59%,4.22%,9.91%,16.47%,54.90%,61.09%,23.55,,21.01,14.03,24.95,57.333333333333336,True
186,LKQ,LKQ Corporation,Consumer Cyclical,Auto Parts,17638.58,94.0,17.0,83,1.27,59.62,65.89,10.52,0.97%,5.35%,13.84%,17.90%,66.30%,69.18%,57.53,,49.08,34.11,60.05,64.66666666666667,True
188,LOW,"Lowe's Companies, Inc.",Consumer Cyclical,Home Improvement Retail,175818.07,84.0,19.0,82,1.26,251.91,267.2,6.07,2.91%,8.67%,22.18%,30.12%,63.93%,56.94%,238.31,,198.97,149.31,256.39,61.666666666666664,True
195,LYV,"Live Nation Entertainment, Inc.",Communication Services,Entertainment,25422.87,76.5,21.0,83,1.27,112.61,114.17,1.39,-2.57%,12.16%,31.26%,24.85%,65.07%,53.43%,111.7,,89.4,64.92,127.75,60.166666666666664,True
202,MOH,"Molina Healthcare, Inc.",Healthcare,Healthcare Plans,18439.04,71.5,13.0,77,1.17,306.5,324.29,5.8,-0.58%,2.99%,15.71%,21.81%,47.92%,44.11%,303.51,,258.67,196.08,316.04,53.833333333333336,True
204,MPWR,"Monolithic Power Systems, Inc.",Technology,Semiconductors,24732.01,86.5,14.0,87,1.38,545.84,603.29,10.53,-5.23%,4.41%,12.95%,61.00%,71.16%,49.04%,548.97,,416.96,300.55,580.0,62.5,True
206,MRO,Marathon Oil Corporation,Energy,Oil & Gas E&P,13533.74,74.0,18.0,96,1.98,16.51,19.8,19.93,-1.26%,-1.61%,39.92%,38.74%,167.59%,147.53%,16.54,,12.67,5.76,17.59,62.666666666666664,True
208,MSFT,Microsoft Corporation,Technology,Software - Infrastructure,2521699.63,91.5,14.0,80,1.22,337.91,360.03,6.55,-0.54%,9.59%,11.81%,34.27%,60.72%,51.82%,335.62,,275.33,209.11,349.67,61.833333333333336,True
209,MSI,"Motorola Solutions, Inc.",Technology,Communication Equipment,44246.06,86.5,21.0,76,1.15,257.11,270.27,5.12,1.20%,4.55%,6.54%,26.87%,51.79%,51.19%,251.01,,215.7,163.16,259.21,61.166666666666664,True
215,NDAQ,"Nasdaq, Inc.",Financial,Financial Data & Stock Exchanges,34922.64,71.5,19.0,82,1.26,207.91,215.62,3.71,-1.92%,3.18%,8.50%,25.66%,64.99%,56.63%,209.16,,176.47,123.27,214.96,57.5,True
237,ORLY,"O'Reilly Automotive, Inc.",Consumer Cyclical,Specialty Retail,44556.12,76.5,17.0,75,1.13,651.31,695.25,6.75,-0.11%,-1.52%,7.29%,22.61%,47.33%,43.91%,638.47,,564.19,424.03,669.09,56.166666666666664,True
247,PLD,"Prologis, Inc.",Real Estate,REIT - Industrial,113077.04,84.0,14.0,78,1.19,152.58,156.66,2.67,2.08%,5.16%,16.89%,29.84%,53.25%,53.10%,148.34,,123.34,93.08,153.24,58.666666666666664,True
248,PNC,"The PNC Financial Services Group, Inc.",Financial,Banks - Regional,89057.7,74.0,16.0,76,1.15,209.09,213.22,1.98,1.73%,-3.45%,8.83%,8.96%,56.45%,40.33%,207.07,,189.04,137.48,217.6,55.333333333333336,True
253,PWR,"Quanta Services, Inc.",Industrials,Engineering & Construction,16934.32,86.5,16.0,86,1.34,120.83,133.75,10.69,1.12%,0.26%,18.24%,28.13%,75.34%,67.77%,118.71,,98.33,66.75,124.69,62.833333333333336,True
254,PXD,Pioneer Natural Resources Company,Energy,Oil & Gas E&P,46757.36,84.0,26.0,85,1.32,188.06,226.12,20.24,2.73%,-2.40%,26.09%,25.13%,79.96%,65.12%,184.95,,160.14,98.59,196.64,65.0,True
258,RF,Regions Financial Corporation,Financial,Banks - Regional,23648.94,71.5,21.0,80,1.21,24.59,25.93,5.45,1.40%,1.53%,17.49%,7.71%,59.78%,52.54%,24.1,,21.25,15.07,24.78,57.5,True
259,RJF,"Raymond James Financial, Inc.",Financial,Capital Markets,20671.73,86.5,18.0,82,1.25,100.71,118.62,17.78,1.13%,-1.26%,7.78%,13.53%,66.96%,57.90%,99.73,,88.76,60.39,103.46,62.166666666666664,True
